candidate,site,anchor,azimuth_deg,single_point_total_eV,single_point_adsorption_eV,relaxed_total_eV,relaxed_adsorption_eV,steps,converged,geometry_status,min_surface_distance_A,max_internal_bond_ratio,max_surface_displacement_A,error
ontop_Cdown_rot0,ontop,C,0,-125.0476139212885,-0.3691808078192018,-125.10103218496795,-0.41522492559128565,16,True,accepted,1.8743532403134657,1.00084436316412,0.14590042022882718,
ontop_Odown_rot0,ontop,O,0,-123.53029600239351,1.148137111075787,-124.69686763834864,-0.01106037897197254,26,True,desorbed,3.952362406052349,0.9903494461292072,0.025639147051126587,
bridge_Cdown_rot0,bridge,C,0,-124.87534238261031,-0.19690926914101325,-125.09956707350281,-0.4137598141261485,20,True,accepted,2.0001777468784114,1.0175476722932153,0.09114273876209014,
bridge_Odown_rot0,bridge,O,0,-123.5720650748805,1.1063680385888013,-124.70103744753496,-0.015230188158295022,27,True,desorbed,4.315139892660212,0.9903281451378186,0.012852567533726088,
fcc_Cdown_rot0,fcc,C,0,-124.83047916884595,-0.15204605537665472,-125.15438399242598,-0.46857673304931424,21,True,accepted,2.0644126130743783,1.0243122540643554,0.08792277988570904,
fcc_Odown_rot0,fcc,O,0,-123.56049182865604,1.1179412848132593,-124.70140064955756,-0.015593390180892897,28,True,desorbed,4.480035153652599,0.9901582640061901,0.012980560734504317,
hcp_Cdown_rot0,hcp,C,0,-124.83560552167701,-0.1571724082077104,-125.16051895202446,-0.4747116926477979,21,True,accepted,2.0649896691995426,1.0244084224476226,0.08042868448879582,
hcp_Odown_rot0,hcp,O,0,-123.5589754589619,1.1194576545074035,-124.70205101364729,-0.016243754270629296,29,True,desorbed,4.468091304394287,0.9901302104317633,0.008139159564539106,
