scope,mode,n,slope,intercept_eV,r2,mae_eV,rmse_eV,bias_eV
all H/O/OH/C/CH/CH2/CH3,single_point,31,1.0067073159852833,0.03581789119350135,0.9904464038151657,0.1286793738295895,0.15110997806850798,0.04776681548758711
C/CH/CH2/CH3,single_point,17,0.9978108804034608,0.05232642584149197,0.9853163536935254,0.14173509249531543,0.16686842734394483,0.04658733988631086
all H/O/OH/C/CH/CH2/CH3,fixed_bottom_relax,31,1.0081073394138516,0.03098044907063664,0.9906776028561791,0.12695073386896574,0.14904714330512622,0.045423481886613
C/CH/CH2/CH3,fixed_bottom_relax,17,0.9983311683262547,0.051171797469666824,0.9855017752117041,0.14169950351999272,0.16600814938201422,0.04679671972814227
